episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
97,100,8964.19094,104.9321,0.45634,20,18.661,0.81019,0.0,0.18981,0.0,11.0,0.59562,0.30972,0.2859,0.40438,1.0,0,10,0,10,389.43013,0.0,56.00172
98,100,9030.85768,66.66674,0.49572,13,12.02148,0.80521,0.0,0.19479,0.0,6.0,0.61,0.325,0.285,0.39,1.0,0,13,0,6,452.21402,0.0,56.99557
99,100,9094.52442,63.66674,0.37515,11,10.12602,0.75,0.0,0.25,0.0,7.0,0.5288,0.26178,0.26702,0.4712,1.0,0,15,0,6,429.01185,0.0,56.00557
100,100,9195.19116,100.66673,0.4252,27,25.2897,0.93287,0.0,0.06713,0.0,12.0,0.88079,0.46358,0.41722,0.11921,1.0,0,6,1,14,508.51166,0.0,55.98122
101,100,9262.52456,67.33341,0.42787,11,10.42503,1.0,0.0,0.0,0.0,10.0,0.52475,0.27228,0.25247,0.47525,1.0,0,16,0,6,446.85514,0.0,55.00702
102,100,9388.19129,125.66673,0.49721,37,34.77283,1.0,0.0,0.0,0.0,20.0,0.95225,0.49072,0.46154,0.04775,1.0,0,3,0,21,411.1881,0.0,50.03714
103,100,9512.19135,124.00006,0.42006,38,36.01374,1.0,0.0,0.0,0.0,16.0,0.93548,0.48387,0.45161,0.06452,1.0,0,4,0,18,340.88832,0.0,51.99097
104,100,9593.19142,81.00007,0.38626,21,19.87373,0.89541,0.0,0.10459,0.0,9.0,0.80247,0.4321,0.37037,0.19753,1.0,0,8,0,9,335.68053,0.0,54.999
105,100,9650.35816,57.16674,0.32931,9,8.1428,0.75,0.0,0.25,0.0,4.0,0.47522,0.24781,0.2274,0.52478,1.0,0,15,0,4,513.04935,0.0,55.99588
106,100,9712.91659,62.55843,0.32224,11,10.12602,0.6804,0.0,0.3196,0.0,6.0,0.52218,0.26642,0.25576,0.47782,1.0,0,14,0,5,385.18555,0.0,56.99463
107,100,9798.24999,85.3334,0.35317,21,19.7466,0.80035,0.0,0.19965,0.0,10.0,0.76562,0.39062,0.375,0.23437,1.0,0,10,0,11,389.33717,0.0,55.99435
108,100,9867.91673,69.66674,0.32664,13,11.8976,0.75592,0.0,0.24408,0.0,8.0,0.59809,0.311,0.28708,0.40191,1.0,0,14,0,7,359.33543,0.0,55.00545
109,100,9942.58347,74.66674,0.31784,16,14.8553,0.875,0.0,0.125,0.0,8.0,0.67857,0.35714,0.32143,0.32143,1.0,0,12,0,8,393.25788,0.0,55.0008
110,100,10063.2502,120.66673,0.48772,34,31.83181,0.96474,0.0,0.03526,0.0,20.0,0.91713,0.46961,0.44751,0.08287,1.0,0,5,0,20,355.96117,0.0,49.06251
111,100,10166.5836,103.3334,0.33346,29,27.32844,0.76729,0.0,0.23271,0.0,11.0,0.86452,0.46774,0.39677,0.13548,1.0,0,7,0,12,409.77818,0.0,53.99134
112,100,10272.08366,105.50006,0.37029,29,27.48417,0.6756,0.0,0.3244,0.0,16.0,0.8673,0.45024,0.41706,0.1327,1.0,0,7,0,15,287.30412,0.0,52.99757
